Disease,Symptoms,Severity Level,Recommended Tests,Diet,lifestyle,remedies,medicines
Fever (General),"High temperature, chills, weakness",Mild to Moderate,"CBC, Blood Culture, Malaria Test","Balanced diet with fruits, vegetables, lean proteins, and whole grains","Regular sleep, avoid stress, stay physically active as per condition","Hydration, warm compress, rest, herbal teas if suitable","Consult physician; typically includes symptom-specific medicines, antibiotics, or antivirals"
Common Cold,"Sneezing, sore throat, runny nose", Mild to Moderate,"Clinical diagnosis, Rapid Antigen (Respiratory Panel)","Balanced diet with fruits, vegetables, lean proteins, and whole grains","Regular sleep, avoid stress, stay physically active as per condition","Hydration, warm compress, rest, herbal teas if suitable","Consult physician; typically includes symptom-specific medicines, antibiotics, or antivirals"
Flu (Influenza),"Fever, body aches, fatigue, dry cough", Mild to Moderate,"Rapid Flu Test, RT-PCR","Balanced diet with fruits, vegetables, lean proteins, and whole grains","Regular sleep, avoid stress, stay physically active as per condition","Hydration, warm compress, rest, herbal teas if suitable","Consult physician; typically includes symptom-specific medicines, antibiotics, or antivirals"
Dengue,"High fever, headache, joint pain, rash, low platelets",Severe (can be),"Dengue NS1, IgM/IgG, CBC","Balanced diet with fruits, vegetables, lean proteins, and whole grains","Regular sleep, avoid stress, stay physically active as per condition","Hydration, warm compress, rest, herbal teas if suitable","Consult physician; typically includes symptom-specific medicines, antibiotics, or antivirals"
Malaria,"Cyclical fever, chills, nausea, sweating",Severe (if delayed),"Peripheral Smear, Malaria Antigen","Balanced diet with fruits, vegetables, lean proteins, and whole grains","Regular sleep, avoid stress, stay physically active as per condition","Hydration, warm compress, rest, herbal teas if suitable","Consult physician; typically includes symptom-specific medicines, antibiotics, or antivirals"
Typhoid,"Continuous fever, abdominal pain, fatigue",Severe (if untreated),"Widal, Typhidot, Blood Culture","Soft, easily digestible foods, ORS, bananas, boiled potatoes","Complete rest, hydration, avoid heavy meals","ORS, basil tea, apple cider vinegar (diluted)","Ciprofloxacin, Azithromycin, Paracetamol"
Tuberculosis (TB),"Persistent cough, weight loss, night sweats",Severe,"Sputum Test, Chest X-ray, GeneXpert","Balanced diet with fruits, vegetables, lean proteins, and high-calorie intake","Avoid exposure, maintain hygiene, and take regular medication","Garlic, mint juice, and gooseberries","Isoniazid, Rifampicin (consult doctor)"
COVID-19,"Fever, cough, breathing difficulty, loss of taste/smell", Mild to Critical,"RT-PCR, Antigen Test, Chest CT","Nutritious food rich in vitamins, protein, and fluids","Isolate, stay active indoors, rest, hydrate","Steam inhalation, warm salt water gargles","Paracetamol, antivirals as prescribed"
Chikungunya,"Fever, rash, joint pain",Moderate,"Chikungunya IgM, RT-PCR","Hydrating foods, fruits, and high-protein meals","Rest, mosquito protection, hydration","Papaya leaf juice (traditional), turmeric milk","Paracetamol, NSAIDs (avoid aspirin)"
Zika Virus,"Fever, red eyes, rash, joint pain", Mild,"Zika RT-PCR, IgM Test","Hydrating fluids, leafy greens, lean proteins","Avoid mosquito bites, rest, hydrate","Neem, tulsi tea, rest","Symptomatic treatment, pain relief meds"
Leptospirosis,"Fever, red eyes, muscle aches, vomiting", Severe,"Leptospira IgM ELISA, MAT",Balanced nutritious meals with extra fluids,"Avoid contact with flood waters, rest","Turmeric in milk, hydration","Doxycycline, Penicillin (consult doctor)"
Hepatitis A,"Fatigue, jaundice, nausea, pale stools",Moderate,"Hep A IgM, LFT","Low-fat, high-carb, clean meals","Avoid alcohol, rest, hygiene","Coconut water, gooseberry juice",No specific; symptomatic treatment
Hepatitis B,"Jaundice, dark urine, liver pain",Chronic/Severe,"HBsAg, LFT, Viral Load","Lean proteins, fruits, avoid fat/alcohol","Vaccination, avoid sharing needles","Licorice root tea, turmeric","Antivirals (Entecavir, Tenofovir)"
Urinary Tract Infection (UTI),"Burning urination, urgency, cloudy urine", Mild to Moderate,"Urinalysis, Urine Culture","Cranberries, water-rich fruits, avoid caffeine","Hygiene, frequent urination","Cranberry juice, baking soda water","Nitrofurantoin, Fosfomycin"
Gastroenteritis,"Vomiting, diarrhea, cramps", Mild,"Stool Test, Electrolytes","BRAT diet (Banana, Rice, Applesauce, Toast)","Hygiene, rest, stay hydrated","Ginger tea, ORS","Oral rehydration, anti-diarrheals"
Asthma,"Wheezing, cough, chest tightness",Depends on control,"Spirometry, Peak Flow Test","Anti-inflammatory foods, omega-3, avoid allergens","Avoid triggers, monitor lung function","Steam inhalation, ginger, honey","Inhalers (Albuterol), corticosteroids"
Hypertension,"Often no symptoms, headaches, dizziness", Silent killer,"BP Monitoring, ECG","Low sodium, high potassium foods","Reduce stress, regular exercise","Garlic, hibiscus tea","Amlodipine, Losartan"
Diabetes,"Increased urination, thirst, fatigue", Chronic/Severe,"Fasting Sugar, HbA1c","Low sugar/carb diet, whole grains","Monitor sugar, regular physical activity","Fenugreek seeds, cinnamon water","Metformin, Insulin"
Sore Throat / Tonsillitis,"Throat pain, fever, swallowing pain, swollen lymph nodes",Low,Throat swab,"Warm fluids, soft foods","Avoid smoking, hydration","Saltwater gargle, honey-lemon tea","Lozenges, antibiotics (if bacterial)"
Lactose Intolerance,"Bloating, diarrhea, gas after consuming milk/dairy",Low,Hydrogen breath test,"Lactose-free, calcium-rich foods","Enzyme pills, label reading","Yogurt (probiotic), ginger tea",Lactase supplements
Celiac Disease,"Bloating, fatigue, weight loss, diarrhea",Medium,"tTG-IgA blood test, biopsy",Gluten-free diet,"Avoid gluten strictly, monitor symptoms","Turmeric milk, aloe vera","Nutritional support, anti-inflammatory if needed"
Gallstones,"Abdominal pain (especially after meals), nausea",Medium,Ultrasound,"Low-fat diet, high-fiber","Avoid fatty meals, maintain weight","Apple cider vinegar, peppermint",Ursodiol (consult doctor)
Kidney Stones,"Severe back/side pain, painful urination, pink urine",High,"Ultrasound, urine test","Hydration, reduce oxalates/sodium","Stay active, drink water","Lemon juice, basil tea","Pain relievers, alpha-blockers"
Liver Cirrhosis,"Fatigue, swelling, jaundice, bleeding easily",High,"LFT, Ultrasound","Low sodium, high-protein (if allowed)","Avoid alcohol, manage weight","Papaya seeds, turmeric","Diuretics, beta blockers"
Heart Disease,"Chest pain, breathlessness, fatigue, palpitations",Very High,"ECG, ECHO, TMT",Mediterranean diet,"No smoking, stress reduction","Garlic, omega-3s","Statins, aspirin, beta blockers"
Stroke,"Sudden numbness, confusion, trouble speaking, loss of balance",Very High,"CT/MRI, blood tests","Low sodium, DASH diet","Rehab, avoid stress/alcohol","Turmeric, green tea","Blood thinners, statins"
Appendicitis,"Pain in lower right abdomen, nausea, loss of appetite",High,"CT scan, ultrasound","Light, easily digestible foods","Post-surgery rest, avoid heavy lifting","Ginger, basil (only if mild pain)",Surgery is primary treatment
Autism (ASD),"Communication difficulties, repetitive behavior, delayed milestones",Varies,Behavioral evaluation,"Balanced, gluten/casein-free (if needed)","Routine, therapy, sleep hygiene","Omega-3s, probiotics","Behavioral therapy, risperidone (if prescribed)"
Kidney Stones,"Back pain, nausea, blood in urine", Severe (painful),"Ultrasound, CT Scan, Urinalysis","Plenty of water, lemon juice, avoid oxalate-rich foods","Stay hydrated, avoid excessive salt","Barley water, basil tea, pomegranate juice","Tamsulosin, Ibuprofen, Potassium citrate"
Gallstones,"Upper abdominal pain (after eating), nausea", Moderate to Severe,"Ultrasound, LFT","Low-fat, fiber-rich foods, avoid fried items","Maintain healthy weight, regular meals","Apple cider vinegar, peppermint tea","Ursodiol, Pain relievers"
Hypothyroidism,"Fatigue, weight gain, cold intolerance",Moderate,"TSH, T3, T4 Test","Iodine, selenium, zinc-rich foods, avoid soy","Regular exercise, good sleep","Coconut oil, ginger tea, avoid goitrogens",Levothyroxine
Hyperthyroidism,"Anxiety, palpitations, weight loss",Moderate,"TSH, T3, T4 Test","Low-iodine, cruciferous veggies","Stress management, regular checkups","Lemon balm tea, bugleweed","Methimazole, Beta-blockers"
Sinus Infection,"Facial pain, stuffy nose, postnasal drip", Mild,"Sinus X-ray, Nasal Swab","Warm fluids, avoid dairy, spicy soups","Steam inhalation, avoid allergens","Neti pot rinse, eucalyptus oil steam","Nasal sprays, Amoxicillin (if bacterial)"
Scabies,"Intense itching, skin rash (especially at night)", Mild,Skin Scraping Test,No special diet,"Wash clothes/bedding, hygiene","Neem oil, tea tree oil","Permethrin cream, Ivermectin"
Heart Attack (Myocardial Infarction),"Chest pain, breathlessness, sweating, jaw/left arm pain",Emergency/Critical,"ECG, Troponin, Echocardiogram, Coronary Angiography","Low-fat, low-sodium, heart-healthy foods","Quit smoking, stress control","Garlic, omega-3s, green tea","Aspirin, Statins, Beta-blockers"
Stroke (Brain Attack),"Sudden numbness, speech slurring, facial droop, paralysis", Emergency/Critical,"CT/MRI Brain, Carotid Doppler, ECG","Low-sodium, potassium-rich foods","Monitor BP, rehab, avoid alcohol","Turmeric, garlic, green tea","Clopidogrel, Aspirin, BP meds"
Hypertensive Heart Disease,"Fatigue, chest discomfort, irregular heartbeat", Severe,"ECG, Echocardiogram, BP Monitoring","Low-salt, fiber-rich foods","Exercise, reduce stress","Hibiscus tea, garlic","ACE inhibitors, Diuretics, Beta-blockers"
Coronary Artery Disease (CAD),"Chest pressure, fatigue, dizziness", Severe,"Stress Test, CT Angiography, ECG","Mediterranean diet, omega-3s, fiber","Quit smoking, exercise","Pomegranate, green tea, turmeric","Statins, Aspirin, Nitrates"
Breast Cancer,"Lump in breast, nipple discharge, skin dimpling",Severe to Critical,"Mammogram, Breast USG, Biopsy","Cruciferous veggies, antioxidant-rich foods","Regular screening, active lifestyle","Flaxseeds, green tea","Tamoxifen, Chemotherapy"
Lung Cancer,"Persistent cough, coughing blood, chest pain",Critical,"Chest X-ray, CT Scan, Bronchoscopy, Biopsy","High-protein, antioxidants, fluids","No smoking, clean air","Turmeric, ginger","Chemotherapy, Immunotherapy"
Oral Cancer,"Mouth sores, non-healing ulcers, lumps in mouth",Critical,"Oral Exam, Biopsy, CT/MRI","Soft, non-spicy food","Quit tobacco, maintain oral hygiene","Turmeric, holy basil","Surgery, Radiotherapy, Chemotherapy"
Cervical Cancer,"Vaginal bleeding, pelvic pain, discharge",Critical,"Pap Smear, HPV DNA Test, Biopsy","Leafy greens, folate-rich foods","HPV vaccine, regular screening","Green tea, curcumin","Radiotherapy, Chemotherapy"
Colon Cancer,"Blood in stool, changes in bowel habits",Severe to Critical,"Colonoscopy, Stool DNA, Biopsy","High-fiber, low red meat","Regular screenings, exercise","Garlic, ginger","Chemotherapy, Targeted therapy"
Prostate Cancer (Men),"Urination issues, lower back pain, blood in urine",Severe to Critical,"PSA Blood Test, Digital Rectal Exam, MRI, Biopsy","Tomatoes, soy, low-fat diet","Healthy weight, PSA tests","Green tea, pomegranate","Hormone therapy, Radiation"
Leukemia (Blood Cancer),"Fatigue, bruising, fever, bone pain",Critical,"CBC, Bone Marrow Biopsy, Flow Cytometry","Iron-rich, fresh fruits","Infection prevention, rest","Turmeric, ginger","Chemotherapy, Bone marrow transplant"
Kidney Failure,"Swelling, nausea, fatigue, reduced urine",Severe/Critical,"Serum Creatinine, GFR, Ultrasound","Low sodium, potassium, phosphorus","BP & sugar control, fluid restriction",Cranberry juice (limited),"Diuretics, Erythropoietin, Phosphate binders"
Liver Cirrhosis,"Jaundice, swelling, bleeding, confusion",Chronic/Severe,"LFT, Fibroscan, Ultrasound, Biopsy","Low-salt, high-protein (if allowed)","No alcohol, regular monitoring","Papaya, licorice root","Diuretics, Lactulose, Antivirals"
Pancreatitis (Acute/Chronic),"Upper abdominal pain, nausea, vomiting", Severe,"Serum Amylase/Lipase, CT Abdomen","Low-fat, soft foods, hydration",No smoking/alcohol,"Ginger tea, coconut water","Pain relievers, Pancreatic enzymes"
Epilepsy,"Repeated seizures, confusion, blackouts", Moderate to Severe,"EEG, Brain MRI, Blood Tests",Ketogenic diet (sometimes),"Regular sleep, avoid triggers","Chamomile tea, yoga","Valproate, Levetiracetam, Carbamazepine"
Multiple Sclerosis (MS),"Numbness, vision loss, coordination issues",Severe,"MRI Brain/Spine, CSF Test","Vitamin D, anti-inflammatory foods","Light exercise, stress control","Omega-3s, turmeric","Interferons, Corticosteroids"
Parkinson’s Disease,"Tremors, stiffness, balance problems",Chronic/Progressive,"Neurological Exam, DaTscan","High-fiber, hydration, balanced meals","Physical therapy, safe home environment","Green tea, fava beans","Levodopa, Dopamine agonists"
ALS (Motor Neuron Disease),"Muscle weakness, difficulty speaking/swallowing",Critical/Progressive,"EMG, Nerve Conduction, Genetic Testing",High-calorie soft foods,"Respiratory support, mobility aids","Massage therapy, meditation","Riluzole, Edaravone"
Spinal Cord Injury,"Paralysis, sensory loss, bladder/bowel issues",Severe,"MRI Spine, Neurological Tests","High-calcium, high-fiber","Physiotherapy, mobility support","Warm compress, turmeric","Steroids (initial), Muscle relaxants"
